=================================================
                RAPPORT RELEVÉS IoT              
=================================================
Date : 2026-02-24

Type;Valeur;Unité;Capteur
pH du sol;7.36;pH;5
Pluviométrie;3.01;mm;7
Luminosité;44814.71;lux;8
Vitesse du vent;6.41;km/h;9
Humidité du sol;44.04;%;4
pH du sol;6.08;pH;5
Pluviométrie;0.81;mm;7
Luminosité;35941.88;lux;8
Vitesse du vent;47.33;km/h;9
Humidité du sol;40.02;%;4
pH du sol;6.85;pH;5
Pluviométrie;8.79;mm;7
Luminosité;28784.85;lux;8
Vitesse du vent;27.22;km/h;9
Humidité du sol;60.53;%;4
pH du sol;7.45;pH;5
Pluviométrie;3.44;mm;7
Luminosité;43813.39;lux;8
Vitesse du vent;25.56;km/h;9
Humidité du sol;52.13;%;4
pH du sol;6.83;pH;5
Pluviométrie;0.72;mm;7
Luminosité;8195.59;lux;8
Vitesse du vent;28.16;km/h;9
Humidité du sol;49.38;%;4
pH du sol;6.78;pH;5
Pluviométrie;6.83;mm;7
Luminosité;6503.68;lux;8
Vitesse du vent;3.13;km/h;9
pH du sol;7.34;pH;5
Pluviométrie;0.38;mm;7
Luminosité;32852.63;lux;8
Vitesse du vent;38.28;km/h;9
Humidité du sol;62.54;%;4
Humidité du sol;69.61;%;4
pH du sol;7.38;pH;5
Pluviométrie;8.17;mm;7
Luminosité;66490.58;lux;8
Vitesse du vent;41.01;km/h;9
Humidité du sol;44.37;%;4
pH du sol;6.11;pH;5
Pluviométrie;5.7;mm;7
Luminosité;89462.62;lux;8
Vitesse du vent;1.81;km/h;9
Humidité du sol;49.08;%;4
pH du sol;6.41;pH;5
Pluviométrie;7.57;mm;7
Luminosité;46007.75;lux;8
Vitesse du vent;1.05;km/h;9
Humidité du sol;72.37;%;4
pH du sol;6.26;pH;5
Pluviométrie;1.21;mm;7
Luminosité;59847.19;lux;8
Vitesse du vent;24.87;km/h;9
Humidité du sol;45.85;%;4
pH du sol;6.97;pH;5
Pluviométrie;5.36;mm;7
Luminosité;66345.13;lux;8
Vitesse du vent;19.68;km/h;9
Humidité du sol;59.88;%;4
pH du sol;6.2;pH;5
Pluviométrie;0.01;mm;7
Luminosité;53864.68;lux;8
Vitesse du vent;0.58;km/h;9
Humidité du sol;71.17;%;4
pH du sol;7.43;pH;5
Pluviométrie;3.89;mm;7
Luminosité;51154.47;lux;8
Vitesse du vent;33.87;km/h;9
Humidité du sol;71.43;%;4
pH du sol;6.35;pH;5
Pluviométrie;0.27;mm;7
Luminosité;54477.66;lux;8
Vitesse du vent;28.82;km/h;9
Humidité du sol;69.9;%;4
pH du sol;6.92;pH;5
Pluviométrie;8.52;mm;7
Luminosité;20085.61;lux;8
Vitesse du vent;9.23;km/h;9
Humidité du sol;47.26;%;4
pH du sol;7.2;pH;5
Pluviométrie;5.61;mm;7
Luminosité;66170.3;lux;8
Vitesse du vent;15.81;km/h;9
Humidité du sol;72.79;%;4
pH du sol;7.33;pH;5
Pluviométrie;6.99;mm;7
Luminosité;17902.44;lux;8
Vitesse du vent;30.73;km/h;9
Humidité du sol;48.62;%;4
pH du sol;6.41;pH;5
Pluviométrie;7.08;mm;7
Luminosité;94601.84;lux;8
Vitesse du vent;15.51;km/h;9
Humidité du sol;74.61;%;4
pH du sol;6.86;pH;5
Pluviométrie;7.2;mm;7
Luminosité;48027.26;lux;8
Vitesse du vent;8.06;km/h;9
Humidité du sol;70.98;%;4
pH du sol;6.72;pH;5
Pluviométrie;1.22;mm;7
Luminosité;69938.81;lux;8
Vitesse du vent;10.32;km/h;9
Humidité du sol;60.63;%;4
pH du sol;6.45;pH;5
Pluviométrie;4.21;mm;7
Luminosité;52583.42;lux;8
Vitesse du vent;7.99;km/h;9
Humidité du sol;49.66;%;4
pH du sol;6.64;pH;5
Pluviométrie;9.25;mm;7
Luminosité;18736.5;lux;8
Vitesse du vent;42.2;km/h;9
Humidité du sol;65.91;%;4
pH du sol;6.43;pH;5
Pluviométrie;7.39;mm;7
Luminosité;4030.97;lux;8
Vitesse du vent;30.98;km/h;9
Humidité du sol;54.45;%;4
pH du sol;6.37;pH;5
Pluviométrie;3.66;mm;7
Luminosité;77849.64;lux;8
Vitesse du vent;44.84;km/h;9
Humidité du sol;46.54;%;4
pH du sol;6.53;pH;5
Pluviométrie;7.3;mm;7
Luminosité;1686.62;lux;8
Vitesse du vent;43.3;km/h;9
Humidité du sol;50.65;%;4
pH du sol;7.24;pH;5
Pluviométrie;1.57;mm;7
Luminosité;12830.01;lux;8
Vitesse du vent;2.51;km/h;9
Humidité du sol;58.53;%;4
pH du sol;6.75;pH;5
Pluviométrie;6.34;mm;7
Luminosité;34824.88;lux;8
Vitesse du vent;14.45;km/h;9
Humidité du sol;44.69;%;4
pH du sol;6.95;pH;5
Pluviométrie;1.25;mm;7
Luminosité;24014.27;lux;8
Vitesse du vent;24.56;km/h;9
Humidité du sol;47.94;%;4
pH du sol;7.46;pH;5
Pluviométrie;3.05;mm;7
Luminosité;32450.83;lux;8
Vitesse du vent;8.08;km/h;9
Humidité du sol;61.94;%;4
pH du sol;6.5;pH;5
Pluviométrie;2.73;mm;7
Luminosité;77897.47;lux;8
Vitesse du vent;41.8;km/h;9
Humidité du sol;77.04;%;4
pH du sol;6.68;pH;5
Pluviométrie;7.4;mm;7
Luminosité;48949.21;lux;8
Vitesse du vent;43.48;km/h;9
Humidité du sol;70.24;%;4
pH du sol;6.93;pH;5
Pluviométrie;4.4;mm;7
Luminosité;40800.56;lux;8
Vitesse du vent;49.63;km/h;9
Humidité du sol;56.88;%;4
pH du sol;6.3;pH;5
Pluviométrie;8.72;mm;7
Luminosité;96850.54;lux;8
Vitesse du vent;13.09;km/h;9
Humidité du sol;52.46;%;4
pH du sol;6.69;pH;5
Pluviométrie;6.43;mm;7
Luminosité;74513.66;lux;8
Vitesse du vent;32.65;km/h;9
Pluviométrie;0.02;mm;7
Luminosité;4902.59;lux;8
Vitesse du vent;25.32;km/h;9
Humidité du sol;67.3;%;4
pH du sol;6.78;pH;5
Humidité du sol;77.07;%;4
pH du sol;6.47;pH;5
Pluviométrie;1.01;mm;7
Luminosité;26405.43;lux;8
Vitesse du vent;44.41;km/h;9
Humidité du sol;68.6;%;4
pH du sol;7.07;pH;5
Pluviométrie;3.96;mm;7
Luminosité;45867.51;lux;8
Vitesse du vent;8.18;km/h;9
Humidité du sol;78.88;%;4
pH du sol;6.64;pH;5
Pluviométrie;3.63;mm;7
Luminosité;59993.66;lux;8
Vitesse du vent;11.61;km/h;9
Humidité du sol;76.1;%;4
pH du sol;6.75;pH;5
Pluviométrie;0.65;mm;7
Luminosité;88935.35;lux;8
Vitesse du vent;7.86;km/h;9
Humidité du sol;75.24;%;4
pH du sol;7.49;pH;5
Pluviométrie;0.25;mm;7
Luminosité;61124.05;lux;8
Vitesse du vent;16.93;km/h;9
Humidité du sol;60.64;%;4
pH du sol;6.31;pH;5
Pluviométrie;6.36;mm;7
Luminosité;26241.79;lux;8
Vitesse du vent;28.88;km/h;9
Humidité du sol;79.56;%;4
pH du sol;7.06;pH;5
Pluviométrie;5.89;mm;7
Luminosité;77266.33;lux;8
Vitesse du vent;31.32;km/h;9
Humidité du sol;57.9;%;4
pH du sol;7.15;pH;5
Pluviométrie;1.67;mm;7
Luminosité;85205.39;lux;8
Vitesse du vent;31.32;km/h;9
Humidité du sol;46.5;%;4
pH du sol;6.82;pH;5
Pluviométrie;6.94;mm;7
Luminosité;84178.05;lux;8
Vitesse du vent;48.68;km/h;9
Humidité du sol;63.93;%;4
pH du sol;7.21;pH;5
Pluviométrie;7.28;mm;7
Luminosité;63491.7;lux;8
Vitesse du vent;36.72;km/h;9
Humidité du sol;77.54;%;4
pH du sol;6.03;pH;5
Pluviométrie;3.26;mm;7
Luminosité;75200.77;lux;8
Vitesse du vent;6.69;km/h;9
Humidité du sol;68.22;%;4
pH du sol;6.59;pH;5
Pluviométrie;5.46;mm;7
Luminosité;27845.65;lux;8
Vitesse du vent;23.46;km/h;9
Humidité du sol;67.34;%;4
pH du sol;7.11;pH;5
Pluviométrie;1.48;mm;7
Luminosité;77972.73;lux;8
Vitesse du vent;27.95;km/h;9
Humidité du sol;72.27;%;4
pH du sol;7.04;pH;5
Pluviométrie;3.73;mm;7
Luminosité;92618.61;lux;8
Vitesse du vent;23.38;km/h;9
Humidité du sol;57.34;%;4
pH du sol;6.4;pH;5
Pluviométrie;1.46;mm;7
Luminosité;93414.02;lux;8
Vitesse du vent;17.03;km/h;9
Humidité du sol;63.48;%;4
pH du sol;7.47;pH;5
Pluviométrie;9.58;mm;7
Luminosité;87953.91;lux;8
Vitesse du vent;32.87;km/h;9
Humidité du sol;58.43;%;4
pH du sol;6.93;pH;5
Pluviométrie;4.87;mm;7
Luminosité;6532.03;lux;8
Vitesse du vent;41.13;km/h;9
Humidité du sol;77.92;%;4
pH du sol;7.47;pH;5
Pluviométrie;2.28;mm;7
Luminosité;98473.7;lux;8
Vitesse du vent;48.74;km/h;9
Humidité du sol;69.1;%;4
pH du sol;6.31;pH;5
Pluviométrie;4.19;mm;7
Luminosité;41238.16;lux;8
Vitesse du vent;41.23;km/h;9
Luminosité;18311.5;lux;8
Vitesse du vent;20.96;km/h;9
Humidité du sol;44.61;%;4
pH du sol;6.53;pH;5
Pluviométrie;7.84;mm;7
Humidité du sol;68.49;%;4
pH du sol;6.94;pH;5
Pluviométrie;0.02;mm;7
Luminosité;94973.51;lux;8
Vitesse du vent;16.6;km/h;9
Humidité du sol;79.95;%;4
pH du sol;6.17;pH;5
Pluviométrie;9.37;mm;7
Luminosité;99846.58;lux;8
Vitesse du vent;4.98;km/h;9
Humidité du sol;62.83;%;4
pH du sol;6.72;pH;5
Pluviométrie;3.03;mm;7
Luminosité;4636.66;lux;8
Vitesse du vent;14.57;km/h;9
Vitesse du vent;21.27;km/h;9
Humidité du sol;73.43;%;4
pH du sol;6.82;pH;5
Pluviométrie;8.36;mm;7
Luminosité;42206.44;lux;8
Humidité du sol;53.92;%;4
pH du sol;6.79;pH;5
Pluviométrie;0.9;mm;7
Luminosité;62984.24;lux;8
Vitesse du vent;20.74;km/h;9
Humidité du sol;63.88;%;4
pH du sol;6.04;pH;5
Pluviométrie;4.75;mm;7
Luminosité;33643.75;lux;8
Vitesse du vent;20.44;km/h;9
Humidité du sol;56.26;%;4
pH du sol;7.42;pH;5
Pluviométrie;3.12;mm;7
Luminosité;11383.71;lux;8
Vitesse du vent;27.26;km/h;9
Humidité du sol;74.75;%;4
pH du sol;7.16;pH;5
Pluviométrie;9.44;mm;7
Luminosité;67222.16;lux;8
Vitesse du vent;10.33;km/h;9
Humidité du sol;49.52;%;4
pH du sol;6.9;pH;5
Pluviométrie;0.79;mm;7
Luminosité;91894.14;lux;8
Vitesse du vent;9.65;km/h;9
Humidité du sol;71.75;%;4
pH du sol;7.19;pH;5
Pluviométrie;8.76;mm;7
Luminosité;44059.75;lux;8
Vitesse du vent;30.68;km/h;9
Humidité du sol;64.03;%;4
pH du sol;7.37;pH;5
Pluviométrie;4.12;mm;7
Luminosité;20908.05;lux;8
Vitesse du vent;13.84;km/h;9
Humidité du sol;61.01;%;4
pH du sol;7.13;pH;5
Pluviométrie;4.48;mm;7
Luminosité;54458.59;lux;8
Vitesse du vent;45.36;km/h;9
Humidité du sol;65.12;%;4
pH du sol;7.3;pH;5
Pluviométrie;9.05;mm;7
Luminosité;98755.4;lux;8
Vitesse du vent;49.43;km/h;9
Humidité du sol;72.64;%;4
pH du sol;7.47;pH;5
Pluviométrie;0.82;mm;7
Luminosité;3916.01;lux;8
Vitesse du vent;10.48;km/h;9
Humidité du sol;63.55;%;4
pH du sol;7.06;pH;5
Pluviométrie;0.64;mm;7
Luminosité;72342.33;lux;8
Vitesse du vent;41.34;km/h;9
Humidité du sol;48.36;%;4
pH du sol;7.34;pH;5
Pluviométrie;4.44;mm;7
Luminosité;67935.74;lux;8
Vitesse du vent;45.12;km/h;9
Humidité du sol;43.02;%;4
pH du sol;6.27;pH;5
Pluviométrie;7.91;mm;7
Luminosité;73470.39;lux;8
Vitesse du vent;39.21;km/h;9
Humidité du sol;53.3;%;4
pH du sol;6.58;pH;5
Pluviométrie;0.04;mm;7
Luminosité;58783.73;lux;8
Vitesse du vent;9.51;km/h;9
Humidité du sol;77.55;%;4
pH du sol;6.13;pH;5
Pluviométrie;6.0;mm;7
Luminosité;43290.71;lux;8
Vitesse du vent;20.36;km/h;9
Luminosité;12714.75;lux;8
Vitesse du vent;32.36;km/h;9
Humidité du sol;78.73;%;4
pH du sol;7.18;pH;5
Pluviométrie;4.05;mm;7
Humidité du sol;55.12;%;4
pH du sol;6.11;pH;5
Pluviométrie;4.15;mm;7
Luminosité;4841.81;lux;8
Vitesse du vent;21.57;km/h;9
Humidité du sol;76.67;%;4
pH du sol;7.4;pH;5
Pluviométrie;6.31;mm;7
Luminosité;73786.23;lux;8
Vitesse du vent;14.24;km/h;9
Humidité du sol;60.44;%;4
pH du sol;6.35;pH;5
Pluviométrie;5.77;mm;7
Luminosité;67297.51;lux;8
Vitesse du vent;41.25;km/h;9
Humidité du sol;45.34;%;4
pH du sol;7.3;pH;5
Pluviométrie;9.93;mm;7
Luminosité;5278.49;lux;8
Vitesse du vent;11.94;km/h;9
Humidité du sol;44.79;%;4
pH du sol;6.89;pH;5
Pluviométrie;6.87;mm;7
Luminosité;73856.76;lux;8
Vitesse du vent;25.64;km/h;9
Humidité du sol;53.18;%;4
pH du sol;7.46;pH;5
Pluviométrie;9.19;mm;7
Luminosité;75057.5;lux;8
Vitesse du vent;26.84;km/h;9
Humidité du sol;55.65;%;4
pH du sol;6.74;pH;5
Pluviométrie;8.66;mm;7
Luminosité;930.98;lux;8
Vitesse du vent;38.7;km/h;9
Pluviométrie;6.32;mm;7
Luminosité;78399.29;lux;8
Vitesse du vent;12.69;km/h;9
Humidité du sol;71.1;%;4
pH du sol;7.1;pH;5
Humidité du sol;69.76;%;4
pH du sol;6.32;pH;5
Pluviométrie;4.75;mm;7
Luminosité;33654.78;lux;8
Vitesse du vent;48.89;km/h;9
Humidité du sol;77.03;%;4
pH du sol;7.14;pH;5
Pluviométrie;8.21;mm;7
Luminosité;45544.91;lux;8
Vitesse du vent;32.4;km/h;9
Humidité du sol;69.4;%;4
pH du sol;7.18;pH;5
Pluviométrie;5.39;mm;7
Luminosité;69169.18;lux;8
Vitesse du vent;26.34;km/h;9
Humidité du sol;72.03;%;4
pH du sol;6.89;pH;5
Pluviométrie;5.48;mm;7
Luminosité;91161.52;lux;8
Vitesse du vent;18.7;km/h;9
Humidité du sol;73.23;%;4
pH du sol;7.48;pH;5
Pluviométrie;4.23;mm;7
Luminosité;78409.62;lux;8
Vitesse du vent;28.45;km/h;9
Vitesse du vent;33.04;km/h;9
Humidité du sol;63.0;%;4
pH du sol;7.27;pH;5
Pluviométrie;4.96;mm;7
Luminosité;59591.01;lux;8
Humidité du sol;76.1;%;4
pH du sol;6.95;pH;5
Pluviométrie;3.63;mm;7
Luminosité;40097.55;lux;8
Vitesse du vent;37.19;km/h;9
Humidité du sol;74.89;%;4
pH du sol;6.48;pH;5
Pluviométrie;6.89;mm;7
Luminosité;97412.42;lux;8
Vitesse du vent;37.2;km/h;9
Humidité du sol;53.92;%;4
pH du sol;6.96;pH;5
Pluviométrie;8.47;mm;7
Luminosité;20560.66;lux;8
Vitesse du vent;43.86;km/h;9
Humidité du sol;43.73;%;4
pH du sol;7.41;pH;5
Pluviométrie;6.61;mm;7
Luminosité;92365.24;lux;8
Vitesse du vent;24.51;km/h;9
Humidité du sol;56.38;%;4
pH du sol;6.39;pH;5
Pluviométrie;6.32;mm;7
Luminosité;92921.83;lux;8
Vitesse du vent;2.06;km/h;9
Humidité du sol;66.01;%;4
pH du sol;6.64;pH;5
Pluviométrie;1.6;mm;7
Luminosité;25264.84;lux;8
Vitesse du vent;13.07;km/h;9
Humidité du sol;64.24;%;4
pH du sol;7.46;pH;5
Pluviométrie;9.85;mm;7
Luminosité;89063.19;lux;8
Vitesse du vent;49.21;km/h;9
Humidité du sol;56.52;%;4
pH du sol;7.06;pH;5
Pluviométrie;1.42;mm;7
Luminosité;27848.83;lux;8
Vitesse du vent;22.51;km/h;9
Humidité du sol;60.48;%;4
pH du sol;7.23;pH;5
Pluviométrie;3.78;mm;7
Luminosité;75737.74;lux;8
Vitesse du vent;37.87;km/h;9
Humidité du sol;50.68;%;4
pH du sol;6.22;pH;5
Pluviométrie;2.03;mm;7
Luminosité;6328.88;lux;8
Vitesse du vent;12.3;km/h;9
Humidité du sol;64.45;%;4
pH du sol;7.16;pH;5
Pluviométrie;6.54;mm;7
Luminosité;57514.88;lux;8
Vitesse du vent;11.9;km/h;9
Humidité du sol;46.84;%;4
pH du sol;6.65;pH;5
Pluviométrie;1.13;mm;7
Luminosité;61228.73;lux;8
Vitesse du vent;46.34;km/h;9
Humidité du sol;45.79;%;4
pH du sol;7.22;pH;5
Pluviométrie;4.67;mm;7
Luminosité;46868.74;lux;8
Vitesse du vent;33.98;km/h;9
Humidité du sol;58.54;%;4
pH du sol;7.02;pH;5
Pluviométrie;7.59;mm;7
Luminosité;72084.52;lux;8
Vitesse du vent;20.15;km/h;9
Humidité du sol;78.73;%;4
pH du sol;6.5;pH;5
Pluviométrie;3.88;mm;7
Luminosité;84236.97;lux;8
Vitesse du vent;49.62;km/h;9
Humidité du sol;48.46;%;4
pH du sol;7.06;pH;5
Pluviométrie;1.97;mm;7
Luminosité;21229.14;lux;8
Vitesse du vent;21.94;km/h;9
Humidité du sol;68.96;%;4
pH du sol;6.75;pH;5
Pluviométrie;0.85;mm;7
Luminosité;77930.7;lux;8
Vitesse du vent;31.25;km/h;9
Humidité du sol;57.42;%;4
pH du sol;7.04;pH;5
Pluviométrie;1.49;mm;7
Luminosité;60871.12;lux;8
Vitesse du vent;43.09;km/h;9
Humidité du sol;52.45;%;4
pH du sol;7.44;pH;5
Pluviométrie;6.65;mm;7
Luminosité;47720.7;lux;8
Vitesse du vent;13.88;km/h;9
Humidité du sol;50.98;%;4
pH du sol;6.1;pH;5
Pluviométrie;8.3;mm;7
Luminosité;17409.97;lux;8
Vitesse du vent;22.97;km/h;9
Humidité du sol;66.84;%;4
pH du sol;6.38;pH;5
Pluviométrie;0.37;mm;7
Luminosité;76438.07;lux;8
Vitesse du vent;6.7;km/h;9
Humidité du sol;66.58;%;4
pH du sol;7.45;pH;5
Pluviométrie;9.97;mm;7
Luminosité;11126.41;lux;8
Vitesse du vent;11.35;km/h;9
Humidité du sol;53.99;%;4
pH du sol;6.48;pH;5
Pluviométrie;7.45;mm;7
Luminosité;9873.19;lux;8
Vitesse du vent;23.68;km/h;9
Humidité du sol;57.73;%;4
pH du sol;7.16;pH;5
Pluviométrie;6.45;mm;7
Luminosité;71443.83;lux;8
Vitesse du vent;44.91;km/h;9
Pluviométrie;6.92;mm;7
Luminosité;96065.88;lux;8
Vitesse du vent;43.16;km/h;9
Humidité du sol;51.85;%;4
pH du sol;7.28;pH;5
Humidité du sol;42.12;%;4
pH du sol;7.24;pH;5
Pluviométrie;4.54;mm;7
Luminosité;36226.61;lux;8
Vitesse du vent;25.59;km/h;9
Humidité du sol;47.36;%;4
pH du sol;6.68;pH;5
Pluviométrie;2.67;mm;7
Luminosité;91546.2;lux;8
Vitesse du vent;9.12;km/h;9
Humidité du sol;49.68;%;4
pH du sol;6.06;pH;5
Pluviométrie;8.67;mm;7
Luminosité;11507.89;lux;8
Vitesse du vent;35.56;km/h;9
Humidité du sol;55.91;%;4
pH du sol;6.59;pH;5
Pluviométrie;8.7;mm;7
Luminosité;72924.71;lux;8
Vitesse du vent;4.56;km/h;9
Humidité du sol;72.72;%;4
pH du sol;6.37;pH;5
Pluviométrie;2.18;mm;7
Luminosité;8582.81;lux;8
Vitesse du vent;16.4;km/h;9
Humidité du sol;52.31;%;4
pH du sol;6.33;pH;5
Pluviométrie;9.29;mm;7
Luminosité;44374.47;lux;8
Vitesse du vent;36.2;km/h;9
Humidité du sol;62.6;%;4
pH du sol;6.12;pH;5
Pluviométrie;9.7;mm;7
Luminosité;22884.92;lux;8
Vitesse du vent;26.97;km/h;9
Humidité du sol;59.67;%;4
pH du sol;6.22;pH;5
Pluviométrie;0.2;mm;7
Luminosité;78267.27;lux;8
Vitesse du vent;14.88;km/h;9
pH du sol;6.38;pH;5
Pluviométrie;4.73;mm;7
Luminosité;65275.2;lux;8
Vitesse du vent;45.27;km/h;9
Humidité du sol;43.67;%;4
Humidité du sol;43.63;%;4
pH du sol;6.86;pH;5
Pluviométrie;5.77;mm;7
Luminosité;44157.02;lux;8
Vitesse du vent;8.15;km/h;9
Humidité du sol;79.43;%;4
pH du sol;6.84;pH;5
Pluviométrie;9.73;mm;7
Luminosité;63989.12;lux;8
Vitesse du vent;4.61;km/h;9
Humidité du sol;78.64;%;4
pH du sol;7.16;pH;5
Pluviométrie;9.57;mm;7
Luminosité;5530.3;lux;8
Vitesse du vent;18.75;km/h;9
Humidité du sol;61.28;%;4
pH du sol;7.35;pH;5
Pluviométrie;6.14;mm;7
Luminosité;25081.4;lux;8
Vitesse du vent;37.67;km/h;9
Humidité du sol;58.22;%;4
pH du sol;6.29;pH;5
Pluviométrie;5.67;mm;7
Luminosité;23709.41;lux;8
Vitesse du vent;22.31;km/h;9
Humidité du sol;55.64;%;4
pH du sol;7.34;pH;5
Pluviométrie;6.37;mm;7
Luminosité;34254.63;lux;8
Vitesse du vent;36.66;km/h;9
Humidité du sol;40.37;%;4
pH du sol;6.78;pH;5
Pluviométrie;3.53;mm;7
Luminosité;42831.14;lux;8
Vitesse du vent;34.49;km/h;9
Humidité du sol;50.91;%;4
pH du sol;6.95;pH;5
Pluviométrie;4.69;mm;7
Luminosité;4748.4;lux;8
Vitesse du vent;30.22;km/h;9
Humidité du sol;42.76;%;4
pH du sol;6.39;pH;5
Pluviométrie;1.94;mm;7
Luminosité;12913.07;lux;8
Vitesse du vent;22.53;km/h;9
Humidité du sol;72.87;%;4
pH du sol;6.76;pH;5
Pluviométrie;9.46;mm;7
Luminosité;9291.22;lux;8
Vitesse du vent;19.85;km/h;9
Vitesse du vent;31.66;km/h;9
Humidité du sol;46.85;%;4
pH du sol;7.4;pH;5
Pluviométrie;3.59;mm;7
Luminosité;61943.18;lux;8
Humidité du sol;61.09;%;4
pH du sol;6.16;pH;5
Pluviométrie;7.48;mm;7
Luminosité;33609.65;lux;8
Vitesse du vent;32.69;km/h;9
Humidité du sol;58.46;%;4
pH du sol;6.94;pH;5
Pluviométrie;9.6;mm;7
Luminosité;35990.76;lux;8
Vitesse du vent;5.14;km/h;9
Humidité du sol;61.29;%;4
pH du sol;7.25;pH;5
Pluviométrie;8.72;mm;7
Luminosité;45747.21;lux;8
Vitesse du vent;32.67;km/h;9
Humidité du sol;59.23;%;4
pH du sol;6.9;pH;5
Pluviométrie;6.34;mm;7
Luminosité;54202.34;lux;8
Vitesse du vent;37.28;km/h;9
Humidité du sol;63.8;%;4
pH du sol;7.42;pH;5
Pluviométrie;9.64;mm;7
Luminosité;74120.77;lux;8
Vitesse du vent;14.28;km/h;9
Luminosité;32378.41;lux;8
Vitesse du vent;41.82;km/h;9
Humidité du sol;59.97;%;4
pH du sol;6.71;pH;5
Pluviométrie;9.6;mm;7
Humidité du sol;45.34;%;4
pH du sol;7.34;pH;5
Pluviométrie;2.86;mm;7
Luminosité;86601.0;lux;8
Vitesse du vent;3.56;km/h;9
Humidité du sol;76.39;%;4
pH du sol;7.32;pH;5
Pluviométrie;1.65;mm;7
Luminosité;62513.99;lux;8
Vitesse du vent;15.14;km/h;9
Pluviométrie;3.79;mm;7
Luminosité;28281.07;lux;8
Vitesse du vent;12.34;km/h;9
Humidité du sol;44.73;%;4
pH du sol;6.05;pH;5
Humidité du sol;46.95;%;4
pH du sol;6.42;pH;5
Pluviométrie;4.97;mm;7
Luminosité;4561.51;lux;8
Vitesse du vent;23.41;km/h;9
Humidité du sol;77.36;%;4
pH du sol;7.41;pH;5
Pluviométrie;1.11;mm;7
Luminosité;78004.14;lux;8
Vitesse du vent;0.76;km/h;9
Humidité du sol;48.23;%;4
pH du sol;6.1;pH;5
Pluviométrie;1.37;mm;7
Luminosité;4504.34;lux;8
Vitesse du vent;13.5;km/h;9
Humidité du sol;50.91;%;4
pH du sol;7.31;pH;5
Pluviométrie;8.77;mm;7
Luminosité;2340.06;lux;8
Vitesse du vent;41.86;km/h;9
Humidité du sol;41.12;%;4
pH du sol;6.34;pH;5
Pluviométrie;9.98;mm;7
Luminosité;9523.97;lux;8
Vitesse du vent;29.3;km/h;9
pH du sol;7.01;pH;5
Pluviométrie;1.39;mm;7
Luminosité;96205.63;lux;8
Vitesse du vent;16.94;km/h;9
Humidité du sol;47.36;%;4
Humidité du sol;77.5;%;4
pH du sol;6.08;pH;5
Pluviométrie;6.98;mm;7
Luminosité;41072.08;lux;8
Vitesse du vent;16.05;km/h;9
Humidité du sol;66.64;%;4
pH du sol;6.67;pH;5
Pluviométrie;7.14;mm;7
Luminosité;7665.18;lux;8
Vitesse du vent;32.44;km/h;9
Humidité du sol;61.05;%;4
pH du sol;7.19;pH;5
Pluviométrie;2.12;mm;7
Luminosité;3395.34;lux;8
Vitesse du vent;46.75;km/h;9
Humidité du sol;64.62;%;4
pH du sol;6.74;pH;5
Pluviométrie;9.15;mm;7
Luminosité;76538.52;lux;8
Vitesse du vent;44.46;km/h;9
Humidité du sol;47.65;%;4
pH du sol;6.1;pH;5
Pluviométrie;6.62;mm;7
Luminosité;77077.98;lux;8
Vitesse du vent;20.37;km/h;9
Humidité du sol;70.1;%;4
pH du sol;7.44;pH;5
Pluviométrie;1.72;mm;7
Luminosité;40710.82;lux;8
Vitesse du vent;22.27;km/h;9
Humidité du sol;46.24;%;4
pH du sol;7.49;pH;5
Pluviométrie;1.51;mm;7
Luminosité;79123.06;lux;8
Vitesse du vent;15.77;km/h;9
Humidité du sol;48.76;%;4
pH du sol;7.46;pH;5
Pluviométrie;2.85;mm;7
Luminosité;35119.25;lux;8
Vitesse du vent;22.17;km/h;9
Humidité du sol;54.6;%;4
pH du sol;6.34;pH;5
Pluviométrie;9.58;mm;7
Luminosité;90860.7;lux;8
Vitesse du vent;37.89;km/h;9
Humidité du sol;57.91;%;4
pH du sol;6.3;pH;5
Pluviométrie;7.29;mm;7
Luminosité;32581.42;lux;8
Vitesse du vent;43.37;km/h;9
Humidité du sol;77.7;%;4
pH du sol;7.1;pH;5
Pluviométrie;0.02;mm;7
Luminosité;37890.33;lux;8
Vitesse du vent;25.74;km/h;9
Humidité du sol;47.33;%;4
pH du sol;6.25;pH;5
Pluviométrie;7.01;mm;7
Luminosité;88871.72;lux;8
Vitesse du vent;33.62;km/h;9
Humidité du sol;51.36;%;4
pH du sol;6.61;pH;5
Pluviométrie;5.84;mm;7
Luminosité;62798.18;lux;8
Vitesse du vent;26.62;km/h;9
Humidité du sol;79.66;%;4
pH du sol;6.2;pH;5
Pluviométrie;3.97;mm;7
Luminosité;89066.79;lux;8
Vitesse du vent;46.57;km/h;9
Humidité du sol;64.05;%;4
pH du sol;6.12;pH;5
Pluviométrie;9.04;mm;7
Luminosité;84136.16;lux;8
Vitesse du vent;46.79;km/h;9
Humidité du sol;52.72;%;4
pH du sol;6.33;pH;5
Pluviométrie;6.8;mm;7
Luminosité;80892.85;lux;8
Vitesse du vent;47.92;km/h;9
Humidité du sol;42.08;%;4
pH du sol;7.17;pH;5
Pluviométrie;4.69;mm;7
Luminosité;52066.04;lux;8
Vitesse du vent;33.66;km/h;9
Humidité du sol;63.06;%;4
pH du sol;6.24;pH;5
Pluviométrie;9.82;mm;7
Luminosité;97470.16;lux;8
Vitesse du vent;49.94;km/h;9
